,modAlgo,conf,dim,budget,train_r2,test_r2,train_mse,test_mse
10271,modDE,531,30,45000,0.0,-0.00012312250748660602,9.989648134234407,9.990140186407299
10272,modDE,532,5,250,0.0,-0.0025235946002461597,2.059773225435394,2.0619607721583435
10273,modDE,532,5,500,0.0,-0.0015284704045943176,1.923900205434523,1.9251222864717725
10274,modDE,532,5,1500,0.0,-0.00015625426295122756,4.994512000060594,4.994824955332739
10275,modDE,532,5,2500,0.0,-7.156697632115794e-06,4.625943950043842,4.625957215824173
10276,modDE,532,5,5000,0.0,-0.00023328032487346384,4.320949036165514,4.321353601944077
10277,modDE,532,5,7500,0.0,-0.00023505678744797364,4.606389689672361,4.606824864777053
10278,modDE,532,30,1500,0.0,-4.371006547536638e-05,3.297880647589652,3.2979386282034304
10279,modDE,532,30,3000,0.0,-6.507635421906243e-05,2.805596826193582,2.805670232262073
10280,modDE,532,30,9000,0.0,-8.15093798240074e-05,2.3444549178673535,2.344531085716691
10281,modDE,532,30,15000,0.0,-0.00020991077490197795,2.424471744473613,2.4246755525747563
10282,modDE,532,30,30000,0.0,-5.568142370644402e-05,4.634602991437961,4.634707398850959
10283,modDE,532,30,45000,0.0,-7.638934796982965e-06,8.628122597047424,8.628148926103412
10284,modDE,533,5,250,0.0,-0.00011465202168978728,4.791111155855528,4.7913310477931725
10285,modDE,533,5,500,0.0,-0.00015369522338914976,4.375854043674109,4.376122946495138
10286,modDE,533,5,1500,0.0,-0.002459721324638098,7.928259085949215,7.93644468133437
10287,modDE,533,5,2500,0.0,-0.012619323085615175,9.572267879607507,9.617355983833546
10288,modDE,533,5,5000,0.0,-0.015438071731329162,11.142527075456567,11.209080761014842
10289,modDE,533,5,7500,0.0,-0.007600194741536459,12.275471027913941,12.314008601376361
10290,modDE,533,30,1500,0.0,-4.082674632828187e-05,2.2132838351984625,2.2133199954997886
10291,modDE,533,30,3000,0.0,-0.0002708734247627742,2.2880752568729865,2.288322388422591
10292,modDE,533,30,9000,0.0,-0.00018706433082287254,7.3335325759697865,7.33408989794124
10293,modDE,533,30,15000,0.0,-0.00012827236357830784,8.59681862986082,8.597262824396179
10294,modDE,533,30,30000,0.0,-4.671592162210914e-05,10.262016214236201,10.262207962265563
10295,modDE,533,30,45000,0.0,-3.630057842403111e-05,10.16730038687818,10.167448333142904
10296,modDE,534,5,250,0.0,-0.0046534656706085364,2.0990017602704394,2.1032125204504277
10297,modDE,534,5,500,0.0,-0.0015715164273693016,1.936810372517017,1.9380382143972539
